date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:50:06	208/208	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2001%20Mar%202020%2020:50:07%20GMT	https://emedia.rmit.edu.au/robots.txt		(from )
07:50:07	7596/7596	---M--	200	added ('OK')	text/html	date:Sun,%2001%20Mar%202020%2020:50:07%20GMT	https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/dignity-of-risk	C:/xampp/htdocs/wtif-fssi/eoc-dor/emedia.rmit.edu.au/CHC33015/indexe507.html	(from )
07:50:07	9457/9457	---M--	200	added ('OK')	text/css	etag:%2224f1-5749b5a1c2226%22	https://emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5p.css?ver=1.9.4	C:/xampp/htdocs/wtif-fssi/eoc-dor/emedia.rmit.edu.au/CHC33015/wp-content/plugins/h5p/h5p-php-library/styles/h5pde48.css	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/dignity-of-risk)
07:50:07	20536/20536	---M--	200	added ('OK')	application/javascript	etag:%225038-589d867a76176%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/js/popper.min.js?ver=1	C:/xampp/htdocs/wtif-fssi/eoc-dor/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/js/popper.min68b3.js	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/dignity-of-risk)
07:50:08	53266/53266	---MC-	200	added ('OK')	application/json	date:Sun,%2001%20Mar%202020%2020:50:09%20GMT	https://emedia.rmit.edu.au/CHC33015/index.php?rest_route=/	C:/xampp/htdocs/wtif-fssi/eoc-dor/emedia.rmit.edu.au/CHC33015/index52f0.json	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/dignity-of-risk)
07:50:09	73/73	---M--	404	error ('Not%20Found')	application/json	date:Sun,%2001%20Mar%202020%2020:50:10%20GMT	https://emedia.rmit.edu.au/CHC33015/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Femedia.rmit.edu.au%2FCHC33015%2F%3Fscorm%3Dfssi-ethics-of-care%2Fdignity-of-risk	C:/xampp/htdocs/wtif-fssi/eoc-dor/emedia.rmit.edu.au/CHC33015/index4fe8.php	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/dignity-of-risk)
07:50:10	132/132	---M--	404	error ('Not%20Found')	text/xml	date:Sun,%2001%20Mar%202020%2020:50:10%20GMT	https://emedia.rmit.edu.au/CHC33015/index.php?rest_route=%2Foembed%2F1.0%2Fembed&url=https%3A%2F%2Femedia.rmit.edu.au%2FCHC33015%2F%3Fscorm%3Dfssi-ethics-of-care%2Fdignity-of-risk&format=xml	C:/xampp/htdocs/wtif-fssi/eoc-dor/emedia.rmit.edu.au/CHC33015/indexe07e.php	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/dignity-of-risk)
07:50:10	86659/86659	---M--	200	added ('OK')	application/javascript	etag:%2215283-589d867a703b6%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/jquery.min.js	C:/xampp/htdocs/wtif-fssi/eoc-dor/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/jquery.min.js	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/dignity-of-risk)
07:50:10	48716/48716	---M--	200	added ('OK')	application/javascript	etag:%22be4c-589d867a7079e%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/theme.min.js	C:/xampp/htdocs/wtif-fssi/eoc-dor/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/js/theme.min.js	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/dignity-of-risk)
07:50:10	489262/489262	---M--	200	added ('OK')	text/css	etag:%227772e-589d867a609b6%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css	C:/xampp/htdocs/wtif-fssi/eoc-dor/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/css/fssi.css	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/dignity-of-risk)
07:50:10	4325/4325	---M--	200	added ('OK')	image/svg+xml	etag:%2210e5-589d867a6f7fe%22	https://emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/fssi-white.svg	C:/xampp/htdocs/wtif-fssi/eoc-dor/emedia.rmit.edu.au/CHC33015/wp-content/themes/275/fssi/img/fssi-white.svg	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/dignity-of-risk)
07:50:11	553504/553504	---M--	200	added ('OK')	image/jpeg	etag:%2287220-57ba3018da596%22	https://emedia.rmit.edu.au/CHC33015/wp-content/uploads/2018/09/dignity-of-risk.jpg	C:/xampp/htdocs/wtif-fssi/eoc-dor/emedia.rmit.edu.au/CHC33015/wp-content/uploads/2018/09/dignity-of-risk.jpg	(from https://emedia.rmit.edu.au/CHC33015/?scorm=fssi-ethics-of-care/dignity-of-risk)
